Model,Dataset,Metric,Value
Data,ladders,betweenness,42.0
BA,ladders,betweenness,0.0
Data,ladders,betweenness,10.0
BA,ladders,betweenness,0.0
Data,ladders,betweenness,4.0
BA,ladders,betweenness,0.0
Data,ladders,betweenness,4.0
BA,ladders,betweenness,0.0
Data,ladders,betweenness,2.4
BA,ladders,betweenness,0.0
Data,ladders,betweenness,6.8
BA,ladders,betweenness,9.4
Data,ladders,betweenness,9.2
BA,ladders,betweenness,9.7
Data,ladders,betweenness,9.2
BA,ladders,betweenness,5.3
Data,ladders,betweenness,7.2
BA,ladders,betweenness,3.7
Data,ladders,betweenness,4.8
BA,ladders,betweenness,1.4
Data,ladders,betweenness,8.4
BA,ladders,betweenness,3.1
Data,ladders,betweenness,9.2
BA,ladders,betweenness,5.1
Data,ladders,betweenness,7.6
BA,ladders,betweenness,4.8
Data,ladders,betweenness,8.0
BA,ladders,betweenness,5.0
Data,ladders,betweenness,9.2
BA,ladders,betweenness,1.6
Data,ladders,betweenness,8.8
BA,ladders,betweenness,2.8
Data,ladders,betweenness,12.4
BA,ladders,betweenness,3.1
Data,ladders,betweenness,12.8
BA,ladders,betweenness,3.3
Data,ladders,betweenness,9.6
BA,ladders,betweenness,1.9
Data,ladders,betweenness,12.0
BA,ladders,betweenness,1.9
Data,ladders,betweenness,12.4
BA,ladders,betweenness,1.1
Data,ladders,betweenness,11.6
BA,ladders,betweenness,2.7
Data,ladders,betweenness,15.6
BA,ladders,betweenness,1.8
Data,ladders,betweenness,15.6
BA,ladders,betweenness,1.6
Data,ladders,betweenness,22.0
BA,ladders,betweenness,2.5
Data,ladders,betweenness,28.4
BA,ladders,betweenness,1.1
Data,ladders,betweenness,27.2
BA,ladders,betweenness,1.1
Data,ladders,betweenness,24.8
BA,ladders,betweenness,1.6
Data,ladders,betweenness,12.2
BA,ladders,betweenness,1.5
Data,ladders,betweenness,5.6
BA,ladders,betweenness,1.7
Data,ladders,betweenness,2.2
BA,ladders,betweenness,1.8
Data,ladders,betweenness,0.6
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.2
BA,ladders,betweenness,1.1
Data,ladders,betweenness,0.8
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.4
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.6
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.2
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.1
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.5
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.2
Data,ladders,betweenness,0.0
BA,ladders,betweenness,1.8
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.3
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.7
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.4
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.9
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.6
Data,ladders,betweenness,0.0
BA,ladders,betweenness,0.6
